1,BMP1,3417,100750.0625,12.27000046,47.97774506
2,BMP1,3685,100750.7344,12.27000046,47.92167282
3,BMP1,3855,100750.7344,12.27000046,47.92167282
4,BMP1,4028,100750.7344,12.27000046,47.92167282
5,BMP1,4192,100750.7344,12.27000046,47.92167282
6,BMP1,4366,100751.4141,12.27000046,47.86458969
7,BMP1,4627,100751.4141,12.27000046,47.86458969
8,BMP1,4801,100751.9219,12.27000046,47.82215881
9,BMP1,4974,100751.9219,12.27000046,47.82215881
10,BMP1,5332,100752.4375,12.27000046,47.7792244
11,BMP1,5912,100752.7734,12.27000046,47.75144196
12,BMP1,6388,100753.4531,12.27000046,47.69385529
13,BMP1,6952,100753.9531,12.27000046,47.6524353
14,BMP1,7454,100753.9297,12.26000023,47.65445328
15,BMP1,7925,100754.2656,12.26000023,47.6261673
16,BMP1,8427,100754.2656,12.26000023,47.6261673
17,BMP1,8837,100754.7734,12.26000023,47.58373642
18,BMP1,9331,100755.0859,12.26000023,47.55797577
19,BMP1,9942,100755.5938,12.26000023,47.51554489
20,BMP1,10448,100755.5625,12.26000023,47.51807022
21,BMP1,10858,100756.2422,12.26000023,47.46099091
22,BMP1,11334,100756.0469,12.26000023,47.47715378
23,BMP1,11806,100756.1875,12.25,47.46553802
24,BMP1,12311,100756.6953,12.25,47.42310715
25,BMP1,12890,100757.2031,12.25,47.38067627
26,BMP1,13363,100757.3438,12.25,47.36906052
27,BMP1,13832,100757.8516,12.25,47.32662964
28,BMP1,14303,100758.1875,12.25,47.29834366
29,BMP1,14867,100758.1563,12.25,47.30086899
30,BMP1,15360,100758.3281,12.25,47.28672409
31,BMP1,15853,100758.5,12.25,47.27207947
32,BMP1,16329,100758.5,12.25,47.27207947
33,BMP1,16888,100758.6641,12.25,47.24328613
34,BMP1,17361,100758.8438,12.25,47.24328613
35,BMP1,17835,100759.0078,12.25,47.22964859
36,BMP1,18329,100759.375,12.25,47.19883728
37,BMP1,18890,100759.5469,12.25,47.18469238
38,BMP1,19363,100759.7188,12.25,47.1705513
39,BMP1,19832,100759.8828,12.25,47.1564064
40,BMP1,20305,100759.5156,12.25,47.18721771
41,BMP1,20865,100759.5156,12.25,47.18721771
42,BMP1,21335,100759.5156,12.25,47.18721771
43,BMP1,21804,100759.6875,12.25,47.17307663
44,BMP1,22309,100759.6875,12.25,47.17307663
45,BMP1,22898,100760.0234,12.25,47.14479065
46,BMP1,23364,100760.1875,12.25,47.13115311
47,BMP1,23836,100760.1875,12.25,47.13115311
48,BMP1,24310,100760.3594,12.25,47.11650467
49,BMP1,24870,100760.3594,12.25,47.11650467
50,BMP1,25347,100760.1875,12.25,47.13115311
51,BMP1,25819,100760.1875,12.25,47.13115311
52,BMP1,26309,100760,12.25,47.14680862
53,BMP1,26884,100760.3359,12.25,47.11903
54,BMP1,27347,100760.1328,12.23999977,47.13569641
55,BMP1,27817,100760.4688,12.23999977,47.10741043
56,BMP1,28322,100760.1094,12.23999977,47.1377182
57,BMP1,28883,100760.0781,12.23999977,47.14024353
58,BMP1,29356,100760.0781,12.23999977,47.14024353
59,BMP1,29838,100760.2422,12.23999977,47.12660599
60,BMP1,30311,100760.2188,12.22999954,47.12862778
61,BMP1,30875,100760.3516,12.22999954,47.11700821
62,BMP1,31347,100760.6875,12.22999954,47.08922958
63,BMP1,31821,100760.6563,12.22999954,47.09175491
64,BMP1,32325,100761,12.22999954,47.06296158
65,BMP1,32905,100760.7969,12.22999954,47.08013535
66,BMP1,33390,100760.9688,12.22999954,47.06548691
67,BMP1,33852,100760.7656,12.22000027,47.08266068
68,BMP1,34327,100760.7656,12.22000027,47.08266068
69,BMP1,34888,100760.9063,12.22000027,47.07104492
70,BMP1,35360,100760.9063,12.22000027,47.07104492
71,BMP1,35830,100760.875,12.22000027,47.07357025
72,BMP1,36350,100761.0469,12.22000027,47.05892181
73,BMP1,36912,100760.8516,12.22000027,47.07559204
74,BMP1,37383,100761.1875,12.22000027,47.04730606
75,BMP1,37856,100760.9844,12.21000004,47.06397247
76,BMP1,38328,100761.3281,12.21000004,47.03568649
77,BMP1,38901,100761.125,12.21000004,47.05235672
78,BMP1,39378,100761.2969,12.21000004,47.03821182
79,BMP1,39873,100761.2656,12.21000004,47.04073715
80,BMP1,40343,100761.2656,12.21000004,47.04073715
81,BMP1,40904,100760.8984,12.21000004,47.07154846
82,BMP1,41389,100761.2344,12.21000004,47.04326248
83,BMP1,41864,100761.4063,12.21000004,47.0291214
84,BMP1,42333,100761.375,12.19999981,47.03164673
85,BMP1,42892,100761.3438,12.19999981,47.03417206
86,BMP1,43415,100761.5156,12.19999981,47.01952362
87,BMP1,43889,100761.1484,12.19999981,47.05033493
88,BMP1,44364,100761.1484,12.19999981,47.05033493
89,BMP1,44938,100760.9453,12.19999981,47.0675087
90,BMP1,45438,100760.9453,12.19999981,47.0675087
91,BMP1,45908,100760.9453,12.19999981,47.0675087
92,BMP1,46422,100760.75,12.18999958,47.08417892
93,BMP1,46835,100760.9219,12.18999958,47.07003403
94,BMP1,47309,100761.0938,12.18999958,47.05488205
95,BMP1,47927,100760.7188,12.18999958,47.08670425
96,BMP1,48432,100760.7188,12.18999958,47.08670425
97,BMP1,48844,100760.7188,12.18999958,47.08670425
98,BMP1,49317,100760.5156,12.18999958,47.10337067
99,BMP1,49942,100760.6875,12.18999958,47.08922958
100,BMP1,50314,100760.8594,12.18999958,47.07508469
101,BMP1,50879,100760.6563,12.18000031,47.09175491
102,BMP1,51347,100761,12.18000031,47.06296158
